"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"11925","OPTCUR","JPYINR","OPTION","06-Jun-2025",53.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",7.06,8.805,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.655,"JPYINR"
"11928","OPTCUR","JPYINR","OPTION","06-Jun-2025",53.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.005,"JPYINR"
"12116","OPTCUR","JPYINR","OPTION","06-Jun-2025",54.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.015,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0125,"JPYINR"
"12117","OPTCUR","JPYINR","OPTION","06-Jun-2025",54.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.8325,7.5675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.425,"JPYINR"
"12118","OPTCUR","JPYINR","OPTION","06-Jun-2025",54.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0175,"JPYINR"
"12513","OPTCUR","JPYINR","OPTION","06-Jun-2025",55.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.1075,6.8275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.7,"JPYINR"
"12642","OPTCUR","JPYINR","OPTION","06-Jun-2025",55.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.035,"JPYINR"
"12719","OPTCUR","JPYINR","OPTION","06-Jun-2025",56.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.165,5.845,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.7625,"JPYINR"
"12747","OPTCUR","JPYINR","OPTION","06-Jun-2025",56.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.4875,5.1175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.0975,"JPYINR"
"12817","OPTCUR","JPYINR","OPTION","06-Jun-2025",58.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.455,3.95,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.1025,"JPYINR"
"12819","OPTCUR","JPYINR","OPTION","06-Jun-2025",58.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.27,3.725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.9225,"JPYINR"
"12821","OPTCUR","JPYINR","OPTION","06-Jun-2025",58.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.09,3.505,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.7525,"JPYINR"
"12822","OPTCUR","JPYINR","OPTION","06-Jun-2025",58.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.1525,0.4825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.5625,"JPYINR"
"12823","OPTCUR","JPYINR","OPTION","06-Jun-2025",58.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.915,3.29,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.59,"JPYINR"
"12831","OPTCUR","JPYINR","OPTION","06-Jun-2025",59.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.305,2.48,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.0375,"JPYINR"
"12835","OPTCUR","JPYINR","OPTION","06-Jun-2025",60.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.0525,2.1175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.815,"JPYINR"
"12878","OPTCUR","JPYINR","OPTION","06-Jun-2025",61.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.7525,1.6075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.8425,"JPYINR"
"12883","OPTCUR","JPYINR","OPTION","06-Jun-2025",61.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.495,1.215,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.355,"JPYINR"
"12884","OPTCUR","JPYINR","OPTION","06-Jun-2025",61.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.08,2.11,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.3925,"JPYINR"
"12890","OPTCUR","JPYINR","OPTION","06-Jun-2025",62.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.37,0.98,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2575,"JPYINR"
"12891","OPTCUR","JPYINR","OPTION","06-Jun-2025",62.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.3425,2.4825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.7925,"JPYINR"
"4987","OPTCUR","JPYINR","OPTION","09-May-2025",53.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"JPYINR"
"5271","OPTCUR","JPYINR","OPTION","09-May-2025",57.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.59,4.29,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.205,"JPYINR"
"5655","OPTCUR","JPYINR","OPTION","09-May-2025",60.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.33,1.22,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.4625,"JPYINR"
"6463","OPTCUR","USDINR","OPTION","09-May-2025",83.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.7225,2.4125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.895,"USDINR"
"7130","OPTCUR","USDINR","OPTION","09-May-2025",86.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.8675,1.5225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.355,"USDINR"
"7520","OPTCUR","USDINR","OPTION","09-May-2025",89.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.5775,4.2675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.1,"USDINR"
"1285","OPTCUR","EURINR","OPTION","28-May-2025",86.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.155,"EURINR"
"1715","OPTCUR","EURINR","OPTION","28-May-2025",90.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.9575,8.9075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.2325,"EURINR"
"2387","OPTCUR","EURINR","OPTION","28-May-2025",94.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.025,0.17,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2325,"EURINR"
"5469","OPTCUR","GBPINR","OPTION","28-May-2025",105.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0275,"GBPINR"
"5479","OPTCUR","GBPINR","OPTION","28-May-2025",105.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",7.4975,9.7225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.9025,"GBPINR"
"5819","OPTCUR","GBPINR","OPTION","28-May-2025",109.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",3.9325,6.0125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.4175,"GBPINR"
